abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
camp n., v.   AAA/kæmp /   BBB trại, chỗ cắm trại; cắm trại, hạ trại
camping n.   AAA/kæmpiη /   BBB sự cắm trại
campaign n.   AAA/kæmˈpeɪn /   BBB chiến dịch, cuộc vận động
can modal v., n.   AAA/kæn /   BBB có thể; nhà tù, nhà giam, bình, ca đựng
could modal v.   AAA/kud /   BBB có thể
cancel v.   AAA/´kænsəl /   BBB hủy bỏ, xóa bỏ
cancer n.   AAA/'kænsə /   BBB bệnh ung thư
candidate n.   AAA/'kændidit /   BBB người ứng cử, thí sinh, người dự thi
candy n.   AAA/´kændi /   BBB kẹo
cap n.   AAA/kæp /   BBB mũ lưỡi trai, mũ vải
capable adj.   AAA/'keipәbl /   BBB có tài, có năng lực; có khả năng, cả gan
capacity n.   AAA/kə'pæsiti /   BBB năng lực, khả năng tiếp thu, năng suất
capital n., adj.   AAA/ˈkæpɪtl /   BBB thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
captain n.   AAA/'kæptin /   BBB người cầm đầu, người chỉ huy, thủ lĩnh
capture v., n.   AAA/'kæptʃə /   BBB bắt giữ, bắt; sự bắt giữ, sự bị bắt
car n.   AAA/kɑ: /   BBB xe hơi
card n.   AAA/kɑ:d /   BBB thẻ, thiếp
cardboard n.   AAA/´ka:d¸bɔ:d /   BBB bìa cứng, các tông
care n., v.   AAA/kɛər /   BBB sự chăm sóc, chăm nom; chăm sóc
career n.   AAA/kə'riə /   BBB nghề nghiệp, sự nghiệp
careful adj.   AAA/'keəful /   BBB cẩn thận, cẩn trọng, biết giữ gìn
carefully adv.   AAA/´kɛəfuli /   BBB cẩn thận, chu đáo
careless adj.   AAA/´kɛəlis /   BBB sơ suất, cầu thả
carpet n.   AAA/'kɑ:pit /   BBB tấm thảm, thảm 
carrot n.   AAA/´kærət /   BBB củ cà rốt
carry v.   AAA/ˈkæri /   BBB mang, vác, khuân chở
case n.   AAA/keis /   BBB vỏ, ngăn, túi 
cash n.   AAA/kæʃ /   BBB tiền, tiền mặt
cast v., n.   AAA/kɑ:st /   BBB quăng, ném, thả, đánh gục; sự quăng, sự ném , sự thả 
castle n.   AAA/'kɑ:sl /   BBB thành trì, thành quách
cat n.   AAA/kæt /   BBB con mèo
catch v.   AAA/kætʃ /   BBB bắt lấy, nắm lấy, tóm lấy, chộp lấy
category n.   AAA/'kætigəri /   BBB hạng, loại; phạm trù
cause n., v.   AAA/kɔ:z /   BBB nguyên nhân, nguyên do; gây ra, gây nên
cease v.   AAA/si:s /   BBB dừng, ngừng, ngớt, thôi, hết, tạnh
ceiling n.   AAA/ˈsilɪŋ /   BBB trần nhà
celebrate v.   AAA/'selibreit /   BBB kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
celebration n.   AAA/,seli'breiʃn /   BBB sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
cell n.   AAA/sel /   BBB ô, ngăn
cent n.   AAA/sent /   BBB đồng xu 
central adj.   AAA/´sentrəl /   BBB trung tâm, ở giữa, trung ương
centre  n.   AAA/'sentə /   BBB điểm giữa, trung tâm, trung ương
century n.   AAA/'sentʃuri /   BBB thế kỷ
ceremony n.   AAA/´seriməni /   BBB nghi thức, nghi lễ
certain adj., pron.   AAA/'sə:tn /   BBB chắc chắn
certainly adv.   AAA/´sə:tnli /   BBB chắc chắn, nhất định
uncertain adj.   AAA/ʌn'sə:tn /   BBB thiếu chính xác, không chắc chắn
certificate n.   AAA/sə'tifikit /   BBB giấy chứng nhận, bằng, chứng chỉ
chain n., v.   AAA/tʃeɪn /   BBB dây, xích; xính lại, trói lại
chair n.   AAA/tʃeə /   BBB ghế
chairman, chairwoman n.   AAA/'tʃeəmən /   BBB /'tʃeə,wumən / BBB chủ tịch, chủ tọa
challenge n., v.   AAA/'tʃælindʤ /   BBB sự thử thách, sự thách thức; thách thức, thử thách
chamber n.   AAA/ˈtʃeɪmbər /   BBB buồng, phòng, buồng ngủ
chance n.   AAA/tʃæns , tʃɑ:ns /   BBB sự may mắn
change v., n.   AAA/tʃeɪndʒ /   BBB thay đổi, sự thay đổi, sự biến đổi
channel n.   AAA/'tʃænl /   BBB kênh , eo biển
chapter n.   AAA/'t∫æptə  /   BBB chương 
character n.   AAA/'kæriktə /   BBB tính cách, đặc tính, nhân vật
characteristic adj., n.   AAA/¸kærəktə´ristik /   BBB riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
charge n., v.   AAA/tʃɑ:dʤ /   BBB nhiệm vụ, bổn phận, trách nhiệm; giao nhiệm vụ, giao việc
charity n.   AAA/´tʃæriti /   BBB lòng từ thiện, lòng nhân đức; sự bố thí
chart n., v.   AAA/tʃa:t /   BBB đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase v., n.   AAA/tʃeis /   BBB săn bắt; sự săn bắt
chat v., n.   AAA/tʃæt /   BBB nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap adj.   AAA/tʃi:p /   BBB rẻ
cheat v., n.   AAA/tʃit /   BBB lừa, lừa đảo; trò lừa đảo, trò gian lận
check v., n.   AAA/tʃek /   BBB kiểm tra; sự kiểm tra
cheek n.   AAA/´tʃi:k /   BBB má
cheerful adj.   AAA/´tʃiəful /   BBB vui mừng, phấn khởi, hồ hởi
cheese n.   AAA/tʃi:z /   BBB pho mát
chemical adj., n.   AAA/ˈkɛmɪkəl /   BBB thuộc hóa học; chất hóa học, hóa chất
chemist n.   AAA/´kemist /   BBB nhà hóa học
chemistry n.   AAA/´kemistri /   BBB hóa học, môn hóa học, ngành hóa học
cheque n.    AAA/t∫ek /   BBB séc
chest n.   AAA/tʃest /   BBB tủ, rương, hòm
chew v.   AAA/tʃu: /   BBB nhai, ngẫm nghĩ
chicken n.   AAA/ˈtʃɪkin /   BBB gà, gà con, thịt gà
chief adj., n.   AAA/tʃi:f /   BBB trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, xếp
child n.   AAA/tʃaild /   BBB đứa bé, đứa trẻ
chin n.   AAA/tʃin /   BBB cằm
chip n.   AAA/tʃip /   BBB vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate n.   AAA/ˈtʃɒklɪt /   BBB sô cô la
choice n.   AAA/tʃɔɪs /   BBB sự lựa chọn
choose v.   AAA/t∫u:z /   BBB chọn, lựa chọn
chop v.   AAA/tʃɔp /   BBB chặt, đốn, chẻ
church n.   AAA/tʃə:tʃ /   BBB nhà thờ
cigarette n.   AAA/¸sigə´ret /   BBB điếu thuốc lá
cinema n.   AAA/ˈsɪnəmə /   BBB rạp xi nê, rạp chiếu bóng
circle n.   AAA/'sə:kl /   BBB đường tròn, hình tròn
circumstance n.   AAA/ˈsɜrkəmˌstæns , ˈsɜrkəmˌstəns /   BBB hoàn cảnh, trường hợp, tình huống
citizen n.   AAA/´sitizən /   BBB người thành thị
city n.   AAA/'si:ti /   BBB thành phố
civil adj.   AAA/'sivl /   BBB công dân
claim v., n.   AAA/kleim /   BBB đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap v., n.   AAA/klæp /   BBB vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
class n.   AAA/klɑ:s /   BBB lớp học
classic adj., n.   AAA/'klæsik /   BBB cổ điển, kinh điển
classroom n.   AAA/'klα:si /   BBB lớp học, phòng học
clean adj., v.   AAA/kli:n /   BBB sạch, sạch sẽ; 
clearly adv.   AAA/´kliəli /   BBB rõ ràng, sáng sủa
clerk n.   AAA/kla:k /   BBB thư ký, linh mục, mục sư
clever adj.   AAA/'klevə /   BBB lanh lợi, thông minh. tài giỏi, khéo léo 
click v., n.   AAA/klik /   BBB làm thành tiếng lách cách; tiếng lách cách, cú nhắp 
client n.   AAA/´klaiənt /   BBB khách hàng
climate n.   AAA/'klaimit /   BBB khí hậu, thời tiết
climb v.   AAA/klaim /   BBB leo, trèo
climbing n.   AAA/´klaimiη /   BBB sự leo trèo
clock n.   AAA/klɔk /   BBB đồng hồ
close Name adj.   AAA/klouz /   BBB đóng kín, chật chội, che đậy
closely adv.   AAA/´klousli /   BBB chặt chẽ, kỹ lưỡng, tỉ mỉ
closed adj.   AAA/klouzd /   BBB bảo thủ, không cởi mở, khép kín
closet n.   AAA/'klozit /   BBB buồng, phòng để đồ, phòng kho
cloth n.   AAA/klɔθ /   BBB vải, khăn trải bàn, áo thầy tu
clothes n.   AAA/klouðz /   BBB quần áo
clothing n.   AAA/´klouðiη /   BBB quần áo, y phục
cloud n.   AAA/klaud /   BBB mây, đám mây
club n.   AAA/´klʌb /   BBB câu lạc bộ; gậy, dùi cui
coach n.   AAA/koʊtʃ /   BBB huấn luyện viên
coal n.   AAA/koul /   BBB than đá
coast n.   AAA/koust /   BBB sự lao dốc; bờ biển
coat n.   AAA/koʊt /   BBB áo choàng
code n.   AAA/koud /   BBB mật mã, luật, điều lệ
coffee n.   AAA/'kɔfi /   BBB cà phê
coin n.   AAA/kɔin /   BBB tiền kim loại
cold adj., n.   AAA/kould /   BBB lạnh, sự lạnh lẽo, lạnh nhạt
coldly adv.   AAA/'kouldli /   BBB lạnh nhạt, hờ hững, vô tâm
collapse v., n.   AAA/kз'læps /   BBB đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague n.   AAA/ˈkɒlig /   BBB bạn đồng nghiệp
collect v.   AAA/kə´lekt /   BBB sưu tập, tập trung lại
collection n.   AAA/kəˈlɛkʃən /   BBB sự sưu tập, sự tụ họp
college n.   AAA/'kɔlidʤ /   BBB trường cao đẳng, trường đại học
colour  n., v.   AAA/'kʌlə /   BBB màu sắc; tô màu
coloured  adj.   AAA/´kʌləd /   BBB mang màu sắc, có màu sắc
column n.   AAA/'kɔləm /   BBB cột , mục 
combination n.   AAA/,kɔmbi'neiʃn /   BBB sự kết hợp, sự phối hợp
combine v.   AAA/'kɔmbain /   BBB kết hợp, phối hợp
come v.   AAA/kʌm /   BBB đến, tới, đi đến, đi tới
comedy n.   AAA/´kɔmidi /   BBB hài kịch
comfort n., v.   AAA/'kΔmfзt /   BBB sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi
comfortable adj.   AAA/'kΔmfзtзbl /   BBB thoải mái, tiện nghi, đầy đủ
comfortably adv.   AAA/´kʌmfətəbli /   BBB dễ chịu, thoải mái, tiện nghi, ấm cúng
uncomfortable adj.   AAA/ʌη´tkʌmfətəbl /   BBB bất tiện, khó chịu, không thoải mái
command v., n.   AAA/kə'mɑ:nd /   BBB ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
comment n., v.   AAA/ˈkɒment /   BBB lời bình luận, lời chú giải; bình luận, phê bình, chú thích, dẫn giải
commercial adj.   AAA/kə'mə:ʃl /   BBB buôn bán, thương mại
commission n., v.   AAA/kəˈmɪʃən /   BBB hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác; ủy nhiệm, ủy thác
commit v.   AAA/kə'mit /   BBB giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment n.   AAA/kə'mmənt /   BBB sự phạm tội, sự tận tụy, tận tâm
committee n.   AAA/kə'miti /   BBB ủy ban
common adj.   AAA/'kɔmən /   BBB công, công cộng, thông thường, phổ biến
commonly adv.   AAA/´kɔmənli /   BBB thông thường, bình thường
communicate v.   AAA/kə'mju:nikeit /   BBB truyền, truyền đạt; giao thiệp, liên lạc
communication n.   AAA/kə,mju:ni'keiʃn /   BBB sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community n.   AAA/kə'mju:niti /   BBB dân chúng, nhân dân
company n.   AAA/´kʌmpəni /   BBB công ty
compare v.   AAA/kәm'peә  /   BBB so sánh, đối chiếu
comparison n.   AAA/kəm'pærisn /   BBB sự so sánh
compete v.   AAA/kəm'pi:t /   BBB đua tranh, ganh đua, cạnh tranh
competition n.   AAA/,kɔmpi'tiʃn /   BBB sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive adj.   AAA/kəm´petitiv /   BBB cạnh tranh, đua tranh
complain v.   AAA/kəm´plein /   BBB phàn nàn, kêu ca
complaint n.   AAA/kəmˈpleɪnt /   BBB lời than phiền, than thở; sự khiếu nại, đơn kiện
complete adj., v.   AAA/kəm'pli:t /   BBB hoàn thành, xong; 
completely adv.   AAA/kзm'pli:tli /   BBB hoàn thành, đầy đủ, trọn vẹn
complex adj.   AAA/'kɔmleks /   BBB phức tạp, rắc rối
complicate v.   AAA/'komplikeit /   BBB làm phức tạp, rắc rối
complicated adj.   AAA/'komplikeitid /   BBB phức tạp, rắc rối
computer n.   AAA/kəm'pju:tə /   BBB máy tính
concentrate v.   AAA/'kɔnsentreit /   BBB tập trung
concentration n.   AAA/,kɒnsn'trei∫n /   BBB sự tập trung, nơi tập trung
concept n.   AAA/ˈkɒnsept /   BBB khái niệm
concern v., n.   AAA/kәn'sз:n /   BBB liên quan, dính líu tới; sự liên quan, sự dính líu tới
concerned adj.   AAA/kən´sə:nd /   BBB có liên quan, có dính líu
concerning prep.   AAA/kən´sə:niη /   BBB bâng khuâng, ái ngại
concert n.   AAA/kən'sə:t /   BBB buổi hòa nhạc
conclude v.   AAA/kənˈklud /   BBB kết luận, kết thúc, chấm dứt 
conclusion n.   AAA/kənˈkluʒən /   BBB sự kết thúc, sự kết luận, phần kết luận
concrete adj., n.   AAA/'kɔnkri:t /   BBB bằng bê tông; bê tông
condition n.   AAA/kәn'di∫әn /   BBB điều kiện, tình cảnh, tình thế
conduct v., n.   AAA/'kɔndʌkt/or/kən'dʌkt /   BBB điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
conference n.   AAA/ˈkɒnfərəns , ˈkɒnfrəns /   BBB hội nghị, sự bàn bạc 
confidence n.   AAA/'konfid ns /   BBB lòng tin tưởng, sự tin cậy
confident adj.   AAA/'kɔnfidənt /   BBB tin tưởng, tin cậy, tự tin
confidently adv.   AAA/'kɔnfidəntli /   BBB tự tin
confine v.   AAA/kən'fain /   BBB giam giữ, hạn chế
confined adj.   AAA/kən'faind /   BBB hạn chế, giới hạn
confirm v.   AAA/kən'fə:m /   BBB xác nhận, chứng thực
conflict n., v.   AAA/v. kənˈflɪkt ; n. ˈkɒnflɪkt /   BBB xung đột, va chạm; sự xung đột, sự va chạm
confront v.   AAA/kən'frʌnt /   BBB đối mặt, đối diện, đối chiếu
confusing adj.   AAA/kən'fju:ziη /   BBB khó hiểu, gây bối rối
confused adj.   AAA/kən'fju:zd /   BBB bối rối, lúng túng, ngượng
confusion n.   AAA/kən'fju:ʒn /   BBB sự lộn xộn, sự rối loạn
congratulations n.   AAA/kən,grætju'lei∫n /   BBB sự chúc mừng, khen ngợi; lời chúc mừng, khen ngợi 
congress n.   AAA/'kɔɳgres /   BBB đại hội, hội nghị, Quốc hội
connect v.   AAA/kə'nekt /   BBB kết nối, nối
connection n.   AAA/kə´nekʃən, /   BBB sự kết nối, sự giao kết
conscious adj.   AAA/ˈkɒnʃəs /   BBB tỉnh táo, có ý thức, biết rõ
unconscious adj.   AAA/ʌn'kɔnʃəs /   BBB bất tỉnh, không có ý thức, không biết rõ
consequence n.   AAA/'kɔnsikwəns /   BBB kết quả, hậu quả
conservative adj.   AAA/kən´sə:vətiv /   BBB thận trọng, dè dặt, bảo thủ
consider v.   AAA/kən´sidə /   BBB cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable adj.   AAA/kən'sidərəbl /   BBB lớn lao, to tát, đáng kể
considerably adv.   AAA/kən'sidərəbly /   BBB đáng kể, lớn lao, nhiều
consideration n.   AAA/kənsidə'reiʃn /   BBB sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
consist of v.   AAA/kən'sist /   BBB gồm có
constant adj.   AAA/'kɔnstənt /   BBB kiên trì, bền lòng
constantly adv.   AAA/'kɔnstəntli /   BBB kiên định
construct v.   AAA/kən´strʌkt /   BBB xây dựng
construction n.   AAA/kən'strʌkʃn /   BBB sự xây dựng
consult v.   AAA/kən'sʌlt /   BBB tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer n.   AAA/kən'sju:mə /   BBB người tiêu dùng
contact n., v.   AAA/ˈkɒntækt /   BBB sự liên lạc, sự giao thiệp; tiếp xúc
contain v.   AAA/kәn'tein /   BBB bao hàm, chứa đựng, bao gồm
container n.   AAA/kən'teinə /   BBB cái đựng, chứa; công te nơ
contemporary adj.   AAA/kən'tempərəri /   BBB đương thời, đương đại
content n.   AAA/kən'tent /   BBB nội dung, sự hài lòng
contest n.   AAA/kən´test /   BBB cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu, chiến tranh
context n.   AAA/'kɔntekst /   BBB văn cảnh, khung cảnh, phạm vi
continent n.   AAA/'kɔntinənt /   BBB lục địa, đại lục 
continue v.   AAA/kən´tinju: /   BBB tiếp tục, làm tiếp
continuous adj.   AAA/kən'tinjuəs /   BBB liên tục, liên tiếp
continuously adv.   AAA/kən'tinjuəsli /   BBB liên tục, liên tiếp
contract n., v.   AAA/'kɔntrækt /   BBB hợp đồng, sự ký hợp đồng; ký kết
contrast n., v.   AAA/kən'træst /   BBB or /'kɔntræst  / BBB sự tương phản; làm tương phản, làm trái ngược
contrasting adj.   AAA/kən'træsti /   BBB tương phản
contribute v.   AAA/kən'tribju:t /   BBB đóng góp, ghóp phần
contribution n.   AAA/¸kɔntri´bju:ʃən /   BBB sự đóng góp, sự góp phần
control n., v. s   AAA/kən'troul /   BBB sự điều khiển, quyền hành, quyền lực, quyền chỉ huy
controlled adj.   AAA/kən'trould /   BBB được điều khiển, được kiểm tra
uncontrolled adj.   AAA/'ʌnkən'trould /   BBB không bị điều khiển, không bị kiểm tra, không bị hạn chế
convenient adj.   AAA/kən´vi:njənt /   BBB tiện lợi, thuận lợi, thích hợp
convention n.   AAA/kən'ven∫n /   BBB hội nghị, hiệp định, quy ước
conventional adj.   AAA/kən'ven∫ənl /   BBB quy ước
conversation n.   AAA/,kɔnvə'seiʃn /   BBB cuộc đàm thoại, cuộc trò chuyện
convert v.   AAA/kən'və:t /   BBB đổi, biến đổi
convince v.   AAA/kən'vins /   BBB làm cho tin, thuyết phục; làm cho nhận thức thấy
cook v., n.   AAA/kʊk /   BBB nấu ăn, người nấu ăn
cooking n.   AAA/kʊkiɳ /   BBB sự nấu ăn, cách nấu ăn
cooker n.   AAA/´kukə /   BBB lò, bếp, nồi nấu
cookie n.   AAA/´kuki /   BBB bánh quy
cool adj., v.   AAA/ku:l /   BBB mát mẻ, điềm tĩnh; làm mát,
cope v.   AAA/koup /   BBB đối phó, đương đầu
copy n., v.   AAA/'kɔpi /   BBB bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core n.   AAA/kɔ: /   BBB nòng cốt, hạt nhân; đáy lòng
corner n.   AAA/´kɔ:nə /   BBB góc 
correct adj., v.   AAA/kə´rekt /   BBB đúng, chính xác; sửa, sửa chữa
correctly adv.   AAA/kə´rektli /   BBB đúng, chính xác 
cost n., v.   AAA/kɔst , kɒst /   BBB giá, chi phí; trả giá, phải trả
cottage n.   AAA/'kɔtidʤ /   BBB nhà tranh
cotton n.   AAA/ˈkɒtn /   BBB bông, chỉ, sợi
cough v., n.   AAA/kɔf /   BBB ho, sự ho, tiếng hoa
coughing n.   AAA/´kɔfiη /   BBB ho
council n.   AAA/kaunsl /   BBB hội đồng
count v.   AAA/kaunt /   BBB đếm, tính
counter n.   AAA/ˈkaʊntər /   BBB quầy hàng, quầy thu tiền, máy đếm
country n.   AAA/ˈkʌntri /   BBB nước, quốc gia, đất nước
countryside n.  AAA/'kʌntri'said /   BBB miền quê, miền nông thôn
county n.   AAA/koun'ti /   BBB hạt, tỉnh
couple n.   AAA/'kʌpl /   BBB đôi, cặp; đôi vợ chồng, cặp nam nữ
courage n.   AAA/'kʌridʤ /   BBB sự can đảm, sự dũng cảm, dũng khí
course n.   AAA/kɔ:s /   BBB tiến trình, quá trình diễn tiến; sân chạy đua
court n.   AAA/kɔrt , koʊrt /   BBB sân, sân , tòa án, quan tòa, phiên tòa
cousin n.   AAA/ˈkʌzən /   BBB anh em họ
cover v., n.   AAA/'kʌvə /   BBB bao bọc, che phủ; vỏ, vỏ bọc
covered adj.   AAA/'kʌvərd /   BBB có mái che, kín đáo
covering n.   AAA/´kʌvəriη /   BBB sự bao bọc, sự che phủ, cái bao, bọc
cow n.   AAA/kaʊ /   BBB con bò cái
crack n., v.   AAA/kræk /   BBB cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
cracked adj.   AAA/krækt /   BBB rạn, nứt
craft n.   AAA/kra:ft /   BBB nghề, nghề thủ công
crash n., v.   AAA/kræʃ /   BBB vải thô; sự rơi , sự phá sản, sụp đổ; phá tan tành, phá vụn
crazy adj.   AAA/'kreizi /   BBB điên, mất trí
cream n.   AAA/kri:m /   BBB kem
create v.   AAA/kri:'eit /   BBB sáng tạo, tạo nên
creature n.   AAA/'kri:tʃə /   BBB sinh vật, loài vật
credit n.   AAA/ˈkrɛdɪt /   BBB sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng
crime n.   AAA/kraim /   BBB tội, tội ác, tội phạm
criminal adj., n.   AAA/ˈkrɪmənl /   BBB có tội, phạm tội; kẻ phạm tội, tội phạm
crisis n.   AAA/ˈkraɪsɪs /   BBB sự khủng hoảng, cơn khủng hoảng
crisp adj.   AAA/krips /   BBB giòn
criterion n.   AAA/kraɪˈtɪəriən /   BBB tiêu chuẩn
critical adj.   AAA/ˈkrɪtɪkəl /   BBB phê bình, phê phán; khó tính
